dog_id, age, weight, sex, kind, color, neuter, thumnail, profile, careAddr, careNm	, special, find_place , find_date , end_date
N447509202000298,2020(년생),1.6(Kg),F,믹스견,흰색,N,http://www.animal.go.kr/files/shelter/2020/07/202009090909473_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009090909473.jpg,경상북도 영주시 문수면 반구로324번길 135 (문수면) 장수면 반구리 407-8,영주시 동물보호센터,귀끝이 황색,영주시 동부3차아파트 부근,20200909,20200921
N447508202000122,2010(년생),1.8(Kg),M,포메라니안,갈색,N,http://www.animal.go.kr/files/shelter/2020/07/202009091209895_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009091209895.jpg,경상북도 구미시 해평면 숭선로 309-11 (해평면) 구미유기동물보호센터,구미유기동물보호센터,정체 불상의 빨간색 차량에서 버려진것으로 추정,구미시 옥성면 구봉1길 120,20200909,20200921
N447505202001142,2015(년생),3.0(Kg),M,푸들,브라운,Y,http://www.animal.go.kr/files/shelter/2020/07/202009081709552_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009081709552.jpg,경상북도 경주시 용담로 12 (황성동) ,공원옆동물병원, ,현곡면 금장리 흰별제빵소 주차장,20200909,20200921
N447505202001141,2020(년생),6.0(Kg),F,믹스견,블랙화이트,U,http://www.animal.go.kr/files/shelter/2020/07/202009080909458_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009080909458.jpg,경상북도 경주시 용담로 12 (황성동) ,공원옆동물병원,6개월령,동방동 289-11,20200909,20200921
N447505202001140,2020(년생),6.0(Kg),F,믹스견,브라운화이트,U,http://www.animal.go.kr/files/shelter/2020/07/202009080909968_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009080909968.jpg,경상북도 경주시 용담로 12 (황성동) ,공원옆동물병원,6개월령,동방동 289-11,20200909,20200921
N446501202000171,2020(년생),9(Kg),M,믹스견,흰색,U,http://www.animal.go.kr/files/shelter/2020/07/20200908220970_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/20200908220970.jpg,전라남도 무안군 삼향읍 석매길 36 (삼향읍) ,신안유기동물보호센터,경계/잘짖지않음/군데군데 피부병증세/8개월추정,흑산면,20200909,20200921
N446501202000170,2020(년생),1.3(Kg),F,믹스견,흰색,U,http://www.animal.go.kr/files/shelter/2020/07/202009082209565_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009082209565.jpg,전라남도 무안군 삼향읍 석매길 36 (삼향읍) ,신안유기동물보호센터,순하고 귀여운 자견/2개월추정,안좌면,20200909,20200921
N446501202000169,2020(년생),1.4(Kg),F,믹스견,흰색,U,http://www.animal.go.kr/files/shelter/2020/07/202009082209834_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009082209834.jpg,전라남도 무안군 삼향읍 석매길 36 (삼향읍) ,신안유기동물보호센터,순하고 귀여운 자견/2개월추정,안좌면,20200909,20200921
N446501202000168,2020(년생),1.3(Kg),M,믹스견,흰색,U,http://www.animal.go.kr/files/shelter/2020/07/202009082209383_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009082209383.jpg,전라남도 무안군 삼향읍 석매길 36 (삼향읍) ,신안유기동물보호센터,순하고 귀여운 자견/2개월추정,안좌면,20200909,20200921
N446500202000041,2020(년생),4(Kg),F,진도견,백색,N,http://www.animal.go.kr/files/shelter/2020/07/202009081109482_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009081109482.jpg,전라남도 진도군 진도읍 성죽골길 30 (진도읍) 진도개축산과,진도개메디컬센터,없음,군내면 진도대로 7968,20200909,20200916
N446500202000040,2018(년생),23(Kg),M,진도견,백색,N,http://www.animal.go.kr/files/shelter/2020/07/202009081109906[1]_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009081109906[1].jpg,전라남도 진도군 진도읍 성죽골길 30 (진도읍) 진도개축산과,진도개메디컬센터,없음,지산면 참전복로 104,20200909,20200916
N446500202000039,2020(년생),8(Kg),F,진도견,황색,N,http://www.animal.go.kr/files/shelter/2020/07/202009081109618_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009081109618.jpg,전라남도 진도군 진도읍 성죽골길 30 (진도읍) 진도개축산과,진도개메디컬센터,없음,진도군청,20200909,20200916
N446500202000038,2018(년생),20(Kg),F,진도견,백색,N,http://www.animal.go.kr/files/shelter/2020/07/202009081109191_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009081109191.jpg,전라남도 진도군 진도읍 성죽골길 30 (진도읍) 진도개축산과,진도개메디컬센터,없음,지산면 참전복로 104,20200909,20200916
N446499202000190,2017(년생),10(Kg),M,믹스견,갈색/ 검정색,N,http://www.animal.go.kr/files/shelter/2020/07/202009091309489_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009091309489.jpg,전라남도 완도군 신지면 신지로6번길 23-89 (신지면) ,유기동물임시보호센터,신고자말로는 낚시꾼들이 유기하고갔다고함/발바리종류로 사람견제많음/,약산면 사동리 마을주변,20200909,20200918
N446496202000207,2019(년생),15(Kg),F,믹스견,흰색,N,http://www.animal.go.kr/files/shelter/2020/07/202009091609384[1]_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009091609384[1].jpg,전라남도 함평군 학교면 송산길 84 (학교면) 월산리 806-1 ,학교동물임시보호센터,믹스견/흰색/암/1세/15kg추정,함평군 대동면 용현길 19-4,20200909,20200924
