dog_id, age, weight, sex, kind, color, neuter, thumnail, profile, careAddr, careNm, special, find_place , find_date , end_date
N411324202000481,2011(년생),1.1(Kg),F,요크셔 테리어,검/갈/흰,N,http://www.animal.go.kr/files/shelter/2020/07/202009091009289_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009091009289.jpg,서울특별시 강동구 양재대로 1385 (성내동) ,둔촌동물병원,좌우측 슬개골 탈구 4기,강일리버파크7단지,20200910,20200921
N411311202000401,2018(년생),5.5(Kg),F,믹스견,갈/흰,U,http://www.animal.go.kr/files/shelter/2020/07/202009101409314_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009101409314.jpg,경기도 양주시 남면 상수리 410-1,한국동물구조관리협회,양귀쫑긋/ 코갈색/ 양뒷다리 며느리발톱/ 사람좋아함/ ,구산사거리 국민은행 앞,20200910,20200921
N469569202000365,2016(년생),15(Kg),M,믹스견,흰색,U,http://www.animal.go.kr/files/shelter/2020/07/202009092109741_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009092109741.jpg,세종특별자치시  전동면 미륵당1길 188 (전동면) ,세종유기동물보호센터,눈 백내장/ 많이 야윔,보람동,20200909,20200916
N448548202000326,2018(년생),5(Kg),M,믹스견,노란색,N,http://www.animal.go.kr/files/shelter/2020/07/202009091009229_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009091009229.jpg,경상남도 합천군 합천읍 옥산로 16 (합천읍/ 까치빌라) 태민동물병원,태민동물병원,활달한 성격/ 친화적임,합천읍 금양길,20200909,20200921
N448548202000325,2017(년생),15(Kg),M,믹스견,검은색/흰색,N,http://www.animal.go.kr/files/shelter/2020/07/202009091009730_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009091009730.jpg,경상남도 합천군 합천읍 옥산로 16 (합천읍/ 까치빌라) 태민동물병원,태민동물병원,온순하고 사람을 잘 따름,묘산면 면소재지 인근,20200909,20200921
N448543202000288,2018(년생),8.5(Kg),M,진도견,흰색,N,http://www.animal.go.kr/files/shelter/2020/07/202009091509669_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009091509669.jpg,경상남도 남해군 이동면 무림로 33-13 (이동면) ,남해군유기동물보호소,야생들개/ 사람 공격이력있음/ 경계심이 강함/ 공격성 강함,경남 남해군 설천면 금음리,20200909,20200921
N448536202001653,2018(년생),15(Kg),F,믹스견,화이트,U,http://www.animal.go.kr/files/shelter/2020/07/202009091909721_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009091909721.jpg,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍) ,밀양시동물보호소,교통사고 다리부상,내이동,20200909,20200921
N448536202001652,2020(년생),3(Kg),F,믹스견,화이트,U,http://www.animal.go.kr/files/shelter/2020/07/202009091909596_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009091909596.jpg,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍) ,밀양시동물보호소,온순함,삼랑진,20200909,20200921
N448536202001651,2020(년생),3(Kg),F,믹스견,화이트,U,http://www.animal.go.kr/files/shelter/2020/07/202009091909345_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009091909345.jpg,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍) ,밀양시동물보호소,온순함,삼랑진,20200909,20200921
N448536202001650,2020(년생),3(Kg),F,믹스견,화이트,U,http://www.animal.go.kr/files/shelter/2020/07/202009091909870_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009091909870.jpg,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍) ,밀양시동물보호소,온순함,삼랑진,20200909,20200921
N448536202001649,2018(년생),7(Kg),F,믹스견,화이트,U,http://www.animal.go.kr/files/shelter/2020/07/20200909190964_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/20200909190964.jpg,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍) ,밀양시동물보호소,온순함,삼랑진,20200909,20200921
N448536202001648,2020(년생),3(Kg),F,믹스견,화이트,U,http://www.animal.go.kr/files/shelter/2020/07/20200909190959_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/20200909190959.jpg,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍) ,밀양시동물보호소,온순함,단장,20200909,20200921
N448534202000827,2014(년생),4(Kg),F,믹스견,흰색,N,http://www.animal.go.kr/files/shelter/2020/07/20200909160993_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/20200909160993.jpg,경상남도 사천시 곤명면 흥신로 514 (곤명면) ,사천시위탁관리소,흰색/ 털이 긺/,감곡길117,20200909,20200921
N448533202000538,2016(년생),20(Kg),F,진도견,주황색/크림색,N,http://www.animal.go.kr/files/shelter/2020/07/20200909170928_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/20200909170928.jpg,경상남도 통영시 광도면 죽림3로 33 (광도면) 사랑애완동물병원,사랑애완동물병원,적색(푸른색라인)목테 착용/예민하고 사나움,신아조선소 근처,20200909,20200921
N448528202000897,2019(년생),10(Kg),F,믹스견,연갈색,N,http://www.animal.go.kr/files/shelter/2020/07/202009091509281_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009091509281.jpg,경상남도 창원시 마산합포구 진북면 지산2길 139-112 226-19,마산유기동물보호소,겁이 약간 있음/ 20-375/386과 함께 다님,구산면 해양드라마세트장 주변,20200909,20200921
N448528202000896,2017(년생),15(Kg),F,믹스견,검정,N,http://www.animal.go.kr/files/shelter/2020/07/202009091509578_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009091509578.jpg,경상남도 창원시 마산합포구 진북면 지산2길 139-112 226-19,마산유기동물보호소,빨간 목줄 착용,구산면 해양드라마세트장 주변,20200909,20200921
N447525202000381,2020(년생),7.00(Kg),F,믹스견,갈색,N,http://www.animal.go.kr/files/shelter/2020/07/202009090909977_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009090909977.jpg,경상북도 울진군 울진읍 울진중앙로 39 (울진읍/ 킴스동물병원) ,킴스동물병원,갈색믹스견/ 생후 7~8개월령 추정,울진군 죽변면 후정리,20200909,20200916
N447519202000291,2018(년생),6(Kg),F,믹스견,검정색/ 흰색,U,http://www.animal.go.kr/files/shelter/2020/07/202009091509234_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009091509234.jpg,경상북도 청도군 화양읍 청화3길 10 (화양읍) 3층 농정과,청도동물보호소,사나운편,이서면 신촌길 161,20200909,20200921
N447518202000264,2019(년생),2(Kg),M,믹스견,갈색 얼룩,U,http://www.animal.go.kr/files/shelter/2020/07/202009091409370_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009091409370.jpg,경상북도 영덕군 영덕읍 구미2길 14-1 (영덕읍) 영덕군유기동물보호센터,영덕유기동물보호센터,순함,경북 영덕군 강구면 동해대로 4682,20200909,20200921
N447518202000263,2019(년생),1(Kg),F,믹스견,검정 얼룩,U,http://www.animal.go.kr/files/shelter/2020/07/202009091409661_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009091409661.jpg,경상북도 영덕군 영덕읍 구미2길 14-1 (영덕읍) 영덕군유기동물보호센터,영덕유기동물보호센터,순함,경북 영덕군 강구면 동해대로 4682,20200909,20200921
N447518202000262,2019(년생),1(Kg),M,믹스견,검정,U,http://www.animal.go.kr/files/shelter/2020/07/20200909140998_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/20200909140998.jpg,경상북도 영덕군 영덕읍 구미2길 14-1 (영덕읍) 영덕군유기동물보호센터,영덕유기동물보호센터,순함,경북 영덕군 영덕읍 구미2길 14-1,20200909,20200921
N447518202000261,2019(년생),2(Kg),F,믹스견,검정,U,http://www.animal.go.kr/files/shelter/2020/07/202009091409149_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009091409149.jpg,경상북도 영덕군 영덕읍 구미2길 14-1 (영덕읍) 영덕군유기동물보호센터,영덕유기동물보호센터,순함,경북 영덕군 영덕읍 구미2길 14-1,20200909,20200921
N447517202000067,2017(년생),7(Kg),F,믹스견,검정과 흰색 혼합,N,http://www.animal.go.kr/files/shelter/2020/07/202009092009241_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009092009241.jpg,경상북도 영양군 입암면 마령산해로 1202 (입암면) .,영양군유기동물보호소,사람을 경계함,석보면 화무로 1059,20200909,20200921
